household_key,first_alert,n_episodes,backlog,high_value,churned,alert_week
957,377.0,5,False,False,False,54
960,363.0,9,False,False,False,52
961,378.0,5,False,False,False,54
964,508.0,1,False,False,False,73
965,360.0,4,False,False,False,52
966,362.0,2,False,False,False,52
968,349.0,11,True,True,False,50
971,391.0,1,False,False,False,56
972,356.0,7,False,True,False,51
974,366.0,4,False,False,False,53
975,408.0,1,False,False,False,59
976,349.0,3,True,False,False,50
978,386.0,4,False,False,False,56
979,354.0,2,False,True,False,51
981,349.0,3,True,False,False,50
982,409.0,9,False,True,False,59
983,403.0,6,False,False,False,58
985,454.0,2,False,False,False,65
986,352.0,3,False,False,False,51
987,382.0,7,False,False,False,55
988,354.0,2,False,False,False,51
989,352.0,6,False,False,False,51
993,429.0,1,False,False,False,62
995,519.0,1,False,False,False,75
996,349.0,6,True,False,False,50
997,459.0,4,False,False,False,66
998,370.0,10,False,True,False,53
999,349.0,4,True,False,False,50
1000,411.0,2,False,False,False,59
1001,349.0,6,True,False,False,50
1002,349.0,3,True,False,False,50
1003,377.0,2,False,False,False,54
1004,369.0,6,False,False,False,53
1005,418.0,2,False,False,False,60
1007,381.0,10,False,False,False,55
1008,357.0,2,False,False,False,51
1009,536.0,1,False,False,False,77
1011,394.0,3,False,False,False,57
1012,351.0,9,False,False,False,51
1013,400.0,4,False,False,False,58
1014,393.0,7,False,False,False,57
1015,499.0,3,False,False,False,72
1016,349.0,8,True,False,False,50
1017,373.0,4,False,False,False,54
1018,362.0,12,False,False,False,52
1019,373.0,4,False,False,False,54
1020,403.0,4,False,True,False,58
1021,369.0,8,False,False,False,53
1022,349.0,3,True,False,False,50
1023,393.0,3,False,True,False,57
1025,349.0,5,True,False,False,50
1027,539.0,1,False,False,False,77
1028,401.0,2,False,False,True,58
1029,419.0,2,False,True,False,60
1030,367.0,4,False,False,False,53
1031,349.0,1,True,False,True,50
1032,352.0,5,False,False,False,51
1033,349.0,4,True,False,False,50
1034,351.0,8,False,False,False,51
1036,431.0,1,False,False,False,62
1037,432.0,2,False,False,False,62
1038,357.0,7,False,False,False,51
1039,375.0,3,False,True,False,54
1040,396.0,1,False,True,False,57
1041,370.0,3,False,True,False,53
1042,350.0,13,False,False,False,50
1043,394.0,3,False,False,False,57
1045,349.0,12,True,False,False,50
1047,360.0,4,False,False,False,52
1048,349.0,4,True,False,False,50
1049,349.0,5,True,False,False,50
1050,416.0,2,False,False,False,60
1051,349.0,8,True,False,False,50
1053,483.0,1,False,False,False,69
1054,377.0,4,False,False,False,54
1055,352.0,5,False,False,False,51
1056,474.0,3,False,False,False,68
1057,400.0,1,False,True,False,58
1058,382.0,6,False,False,False,55
1060,349.0,1,True,False,False,50
1061,356.0,3,False,False,False,51
1062,370.0,3,False,False,False,53
1063,350.0,7,False,False,False,50
1064,349.0,5,True,False,False,50
1065,379.0,1,False,False,False,55
1066,445.0,3,False,False,False,64
1067,358.0,2,False,False,False,52
1068,349.0,3,True,False,False,50
1069,493.0,1,False,False,False,71
1070,359.0,13,False,False,False,52
1071,430.0,2,False,False,False,62
1072,375.0,4,False,False,False,54
1073,356.0,1,False,False,False,51
1074,492.0,1,False,True,False,71
1075,362.0,6,False,False,False,52
1076,358.0,6,False,False,False,52
1078,354.0,9,False,True,False,51
1079,451.0,2,False,False,False,65
1080,349.0,6,True,False,False,50
1081,374.0,8,False,True,False,54
1082,483.0,1,False,False,False,69
1083,431.0,2,False,False,False,62
1084,366.0,10,False,False,False,53
1085,475.0,1,False,False,False,68
1086,349.0,2,False,False,False,50
1087,370.0,9,False,False,False,53
1088,353.0,3,False,False,False,51
1089,349.0,9,True,False,False,50
1091,361.0,8,False,True,False,52
1092,366.0,8,False,False,False,53
1093,349.0,3,True,False,False,50
1094,371.0,4,False,False,False,53
1095,349.0,2,True,False,False,50
1097,400.0,2,False,True,False,58
