household_key,alert_day,week,high_value
453,421,61,False
453,451,65,False
454,374,54,True
454,414,60,True
454,476,68,True
454,504,72,True
454,513,74,True
454,539,77,True
456,374,54,True
456,390,56,True
456,412,59,True
456,520,75,True
457,350,50,False
457,371,53,False
457,396,57,False
457,437,63,False
457,449,65,False
457,467,67,False
457,511,73,False
457,519,75,False
457,533,77,False
457,558,80,False
458,527,76,False
458,558,80,False
460,350,50,False
460,385,55,False
460,399,57,False
460,414,60,False
460,443,64,False
460,478,69,False
460,521,75,False
460,539,77,False
461,349,50,False
461,433,62,False
461,498,72,False
462,461,66,False
463,354,51,False
463,364,52,False
463,373,54,False
463,413,59,False
463,430,62,False
463,441,63,False
463,462,66,False
464,395,57,False
464,449,65,False
464,464,67,False
464,526,76,False
465,349,50,False
465,380,55,False
465,396,57,False
465,417,60,False
465,445,64,False
465,467,67,False
465,487,70,False
465,502,72,False
465,555,80,False
467,408,59,False
467,476,68,False
468,368,53,False
468,380,55,False
468,398,57,False
468,415,60,False
468,442,64,False
469,388,56,True
469,399,57,True
469,459,66,True
469,492,71,True
469,531,76,True
470,542,78,False
471,423,61,False
472,382,55,True
472,482,69,True
472,529,76,True
475,349,50,False
475,454,65,False
475,556,80,False
477,349,50,False
