PRODUCT_ID,STORE_ID,comparison,reference_state,comparison_state,reference_weeks,comparison_weeks,min_state_weeks,reference_spv,comparison_spv,reference_bpr,comparison_bpr,reference_basket_share,comparison_basket_share,reference_category_share,comparison_category_share,spv_difference,bpr_difference,basket_share_difference,category_share_difference,is_positive_spv,is_positive_bpr
822407,343,both_vs_additive,display+mailer-none,both,7,8,7,-0.01637943959635136,0.041527222777222775,-0.005679864135262742,0.018829087579087578,-0.004013047087813354,0.012295945454275444,-0.019787008654890068,0.08772325620786545,0.057906662373574135,0.02450895171435032,0.0163089925420888,0.10751026486275551,1,1
822407,356,both_vs_additive,display+mailer-none,both,7,8,7,0.040129033461903316,0.008333333333333333,0.024417522596054297,0.004166666666666667,0.013801308946895486,0.0025,0.08937144744182379,0.011410314924691922,-0.031795700128569984,-0.02025085592938763,-0.011301308946895485,-0.07796113251713187,0,0
822407,358,both_vs_additive,display+mailer-none,both,4,4,4,0.01842857142857142,0.045454545454545456,-0.005714285714285713,0.022727272727272728,-0.0035714285714285726,0.016666666666666666,0.058572317989026845,0.2,0.027025974025974037,0.02844155844155844,0.02023809523809524,0.14142768201097317,1,1
822407,361,both_vs_additive,display+mailer-none,both,8,7,7,-0.02052918789217656,0.0,0.00855777948488946,0.0,0.0033916810876442917,0.0,0.10160824571339211,0.0,0.02052918789217656,-0.00855777948488946,-0.0033916810876442917,-0.10160824571339211,1,0
822407,364,both_vs_additive,display+mailer-none,both,10,4,4,0.0991673318511554,0.03571428571428571,0.032985180669004195,0.017857142857142856,0.018218118577545718,0.008064516129032258,0.054616605666652815,0.06190034045187249,-0.06345304613686968,-0.015128037811861339,-0.01015360244851346,0.007283734785219674,0,0
822407,370,both_vs_additive,display+mailer-none,both,8,10,8,0.043292297979797986,0.03766025641025641,0.022206439393939396,0.029967948717948716,0.011231039873281255,0.016679587964217944,0.02347537217391553,0.08773667163515342,-0.005632041569541578,0.007761509324009319,0.00544854809093669,0.06426129946123789,0,1
822407,372,both_vs_additive,display+mailer-none,both,10,9,9,-0.005620417207362705,0.05610398860398861,-0.002903025903014879,0.03169515669515669,-0.0018481440976311023,0.017370132277093504,-0.04603101211965442,0.09578640426608148,0.061724405811351316,0.03459818259817157,0.019218276374724605,0.14181741638573592,1,1
822407,374,both_vs_additive,display+mailer-none,both,2,5,2,-0.030949050949050955,0.04,0.013756243756243756,0.02,0.004538170163170166,0.013333333333333332,0.2072886254494181,0.1111111111111111,0.07094905094905096,0.006243756243756244,0.008795163170163166,-0.09617751433830699,1,1
822407,381,both_vs_additive,display+mailer-none,both,2,1,1,0.03920083184789067,0.0,0.015760546642899585,0.0,0.00930765023506959,0.0,0.04142007684836418,0.0,-0.03920083184789067,-0.015760546642899585,-0.00930765023506959,-0.04142007684836418,0,0
822407,384,both_vs_additive,display+mailer-none,both,7,7,7,0.021222527472527473,0.1101190476190476,0.007772435897435898,0.05456349206349206,0.0029944964096749824,0.035368927226903164,-0.3317431736980705,0.11043354082389507,0.08889652014652014,0.04679105616605616,0.032374430817228184,0.44217671452196555,1,1
