household_key,comparison,preferred_products,total_preference_weight,profiled_products,profiled_weight,multistore_profiled_products,multistore_profiled_weight,sales_positive_weight,penetration_positive_weight,any_positive_weight,joint_positive_weight,home_store_profiled_products,home_store_profiled_weight,home_store_sales_positive_weight,home_store_penetration_positive_weight,weighted_median_spv_difference,weighted_median_bpr_difference
1136,both_vs_none,19,0.9999999999999999,10,0.6037735849056604,5,0.32075471698113206,0.09433962264150944,0.09433962264150944,0.09433962264150944,0.09433962264150944,6,0.43396226415094336,0.2641509433962264,0.2641509433962264,0.011279756480713428,0.005277387135506535
1136,display_only_vs_none,19,0.9999999999999999,13,0.7169811320754716,7,0.3962264150943396,0.09433962264150944,0.09433962264150944,0.09433962264150944,0.09433962264150944,8,0.5094339622641509,0.20754716981132076,0.20754716981132076,-0.003932406779287498,-0.003190933963743272
1136,mailer_only_vs_none,19,0.9999999999999999,12,0.6981132075471698,4,0.2830188679245283,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,6,0.43396226415094336,0.15094339622641512,0.24528301886792453,0.0012883619451787547,0.0015390702764585531
1137,both_vs_additive,15,1.0000000000000002,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1137,both_vs_none,15,1.0000000000000002,1,0.07272727272727272,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1137,display_only_vs_none,15,1.0000000000000002,1,0.03636363636363636,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1137,mailer_only_vs_none,15,1.0,2,0.10909090909090909,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1138,both_vs_additive,19,0.9999999999999998,2,0.043478260869565216,1,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0,0.0,0.0,0.0,0.03030944197826453,0.02224906074547422
1138,both_vs_none,19,0.9999999999999998,2,0.043478260869565216,1,0.021739130434782608,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.009896729395254995,-0.0022554718493841587
1138,display_only_vs_none,19,0.9999999999999998,2,0.043478260869565216,1,0.021739130434782608,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.020609755031117248,-0.012958284691227518
1138,mailer_only_vs_none,19,0.9999999999999998,2,0.043478260869565216,1,0.021739130434782608,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.02006837606837607,-0.009401709401709403
1139,both_vs_additive,20,1.0000000000000004,2,0.0816326530612245,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
